PLAYER,TEAM,POSITION,<6_FREQ,<6_DFGM,<6_DIFF%,6-9_FREQ,6-9_DFGM,6-9_DIFF%,10-15_FREQ,10-15_DFGM,10-15_DIFF%,16-3PT_FREQ,16-3PT_DFGM,16-3PT_DIFF%,3PT_FREQ,3PT_DFGM,3PT_DIFF%
James Harden,HOU,G,30.9,2.5,3.9,14.6,0.5,-24.9,8.1,0.5,3.7,9.8,0.3999999999999999,-3.6999999999999957,36.8,1.6,-0.9
Paul George,OKC,F,33.7,2.6,1.0,7.3,0.2999999999999998,-18.499999999999993,6.5,0.3,-5.4,8.1,0.4999999999999998,12.099999999999994,44.0,1.8,-1.7
Giannis Antetokounmpo,MIL,F,34.1,2.0,-9.9,9.0,0.2999999999999998,-22.900000000000006,5.4,0.3,3.4,9.0,0.3999999999999999,3.5,42.1,1.5,-1.8
Joel Embiid,PHI,F-C,49.5,4.8,-9.4,10.2,0.6000000000000005,-20.599999999999994,7.5,0.7,-1.4,12.4,0.8999999999999999,1.7000000000000028,20.5,1.4,2.9
LeBron James,LAL,F,32.5,2.0,-0.2,9.9,0.3999999999999999,-12.300000000000004,5.9,0.3,5.2,9.9,0.19999999999999996,-17.400000000000006,41.8,1.5,-0.6
Stephen Curry,GSW,G,21.099999999999998,1.4,10.5,14.1,0.5,-11.099999999999994,9.8,0.4,3.1,12.0,0.40000000000000013,-1.7000000000000028,44.1,1.4,-1.6
Kawhi Leonard,TOR,F,28.599999999999998,1.8,1.6,10.1,0.40000000000000013,-10.899999999999999,7.1,0.2,-15.6,11.1,0.40000000000000013,-0.10000000000000142,43.3,1.7,3.2
Devin Booker,PHX,G,30.8,2.1,3.7,8.7,0.3999999999999999,-7.500000000000007,6.8,0.3,1.4,11.7,0.5,3.799999999999997,42.1,1.6,0.6
Kevin Durant,GSW,F,29.299999999999997,1.9,-5.1,8.9,0.20000000000000018,-32.50000000000001,7.1,0.3,-6.7,11.6,0.5000000000000002,1.1000000000000085,43.3,1.7,0.3
Anthony Davis,NOP,F-C,44.4,4.2,0.0,11.3,0.5,-23.699999999999996,7.3,0.5,-5.2,11.3,0.5,-8.500000000000007,25.7,1.3,-3.0
Damian Lillard,POR,G,19.7,1.4,6.8,10.9,0.40000000000000013,-14.100000000000001,11.9,0.4,-7.2,14.9,0.5000000000000002,-4.79999999999999,41.9,1.7,3.3
Kemba Walker,CHA,G,24.6,2.2,6.3,9.4,0.3999999999999999,-17.6,7.8,0.4,-2.0,12.5,0.6000000000000001,-0.30000000000000426,45.300000000000004,2.1,1.3
Bradley Beal,WAS,G,27.800000000000004,2.3,2.9,8.8,0.40000000000000036,-15.400000000000006,6.4,0.3,-3.7,10.4,0.5999999999999996,8.600000000000001,46.0,2.2,2.4
Blake Griffin,DET,F,31.6,2.4,5.2,8.8,0.5,-2.999999999999993,7.1,0.3,-8.7,11.5,0.5,1.8000000000000043,40.9,1.6,0.1
Karl-Anthony Towns,MIN,C,46.400000000000006,3.9,-6.9,15.1,0.8999999999999999,-13.099999999999994,8.6,0.5,-11.4,8.6,0.5999999999999999,8.700000000000003,21.7,1.3,5.4
Kyrie Irving,BOS,G,27.400000000000002,1.7,2.3,10.5,0.40000000000000013,-11.299999999999997,7.4,0.3,0.4,12.6,0.40000000000000013,-4.999999999999993,41.8,1.7,6.1
Donovan Mitchell,UTA,G,22.1,1.3,6.4,9.3,0.30000000000000004,-11.800000000000004,11.6,0.5,9.1,14.0,0.5,3.8999999999999915,43.2,1.3,0.9
Zach LaVine,CHI,G,19.3,1.4,9.2,9.2,0.30000000000000004,-17.499999999999993,7.1,0.3,3.1,9.2,0.2999999999999998,-4.399999999999999,54.6,2.1,3.5
Russell Westbrook,OKC,G,26.900000000000002,1.6,1.9,9.7,0.2999999999999998,-18.9,7.5,0.3,0.9,11.8,0.3999999999999999,-1.1000000000000014,44.0,1.6,4.5
Klay Thompson,GSW,G,30.599999999999998,1.8,-0.6,12.4,0.40000000000000013,-17.1,9.3,0.2,-20.5,10.3,0.3999999999999999,2.1999999999999957,37.4,1.3,0.6
Julius Randle,NOP,C-F,38.4,3.0,-0.5,11.9,0.6000000000000001,-12.700000000000003,6.3,0.2,-22.9,7.9,0.5000000000000002,13.599999999999994,35.6,1.7,2.7
LaMarcus Aldridge,SAS,C-F,37.9,2.8,-10.1,17.4,0.7000000000000002,-22.700000000000006,9.4,0.7,3.8,13.8,0.7999999999999998,3.70000000000001,21.2,1.1,1.9
DeMar DeRozan,SAS,G,23.5,1.5,5.2,8.5,0.30000000000000004,-12.700000000000003,10.6,0.4,-1.0,16.0,0.7000000000000002,8.900000000000006,42.0,1.4,0.5
Luka Doncic,DAL,F-G,34.2,2.6,4.7,7.1,0.3999999999999999,-1.7999999999999972,8.0,0.3,-9.4,10.6,0.5,4.199999999999996,40.1,1.6,-0.6
Jrue Holiday,NOP,G,23.3,2.5,12.3,9.2,0.3999999999999999,-19.199999999999992,7.0,0.3,-12.8,12.7,0.7000000000000002,0.6999999999999957,47.8,2.4,-0.4
D'Angelo Russell,BKN,G,19.8,1.4,7.2,8.0,0.30000000000000004,-12.799999999999997,11.0,0.6,13.5,17.0,0.5,-8.300000000000004,43.8,1.6,0.1
Mike Conley,MEM,G,19.2,1.2,0.4,11.3,0.5,-8.800000000000011,8.5,0.4,3.0,11.3,0.6000000000000001,12.299999999999997,49.9,1.9,1.2
CJ McCollum,POR,G,19.900000000000002,1.5,6.7,12.7,0.6000000000000001,-6.0,11.8,0.7,13.1,20.0,0.7,-7.600000000000005,35.6,1.3,-2.0
Nikola Vucevic,ORL,C,49.5,4.1,-7.4,15.3,1.0,-8.899999999999991,8.7,0.6,-6.4,12.0,0.7000000000000001,0.6999999999999957,14.799999999999999,0.9,3.7
John Wall,WAS,G,29.099999999999998,1.9,1.4,8.5,0.5,6.200000000000017,8.5,0.3,-8.8,14.2,0.5999999999999999,1.7000000000000028,39.1,1.7,4.4
Buddy Hield,SAC,G,31.1,2.3,2.3,8.7,0.40000000000000036,-11.500000000000007,7.0,0.3,-3.5,10.4,0.5999999999999999,11.899999999999999,42.3,1.7,-1.5
Nikola Jokic,DEN,C,47.599999999999994,4.2,-3.8,11.5,0.8999999999999995,-0.4999999999999929,8.1,0.3,-27.2,10.1,0.6000000000000001,1.3999999999999986,22.3,1.2,0.2
Tobias Harris,PHI,F,33.900000000000006,2.8,1.6,11.7,0.6000000000000001,-12.099999999999994,7.8,0.3,-14.7,11.7,0.5999999999999999,2.0999999999999943,34.9,1.7,2.7
Lou Williams,LAC,G,22.8,1.1,14.3,6.3,0.19999999999999996,0.5,7.9,0.1,-19.2,12.7,0.40000000000000013,13.200000000000003,48.3,1.2,2.7
