PLAYER,TEAM,POSITION,PASSES MADE,SECONDARY AST,AST TO PASS% ADJ
James Harden,HOU,G,49.5,0.9,17.8
Paul George,OKC,F,31.1,0.3,15.0
Giannis Antetokounmpo,MIL,F,54.3,0.6,12.2
Joel Embiid,PHI,F-C,58.0,0.4,7.0
LeBron James,LAL,F,54.8,0.7,17.2
Stephen Curry,GSW,G,50.4,1.0,12.9
Kawhi Leonard,TOR,F,30.1,0.7,13.5
Devin Booker,PHX,G,45.6,0.7,16.9
Kevin Durant,GSW,F,43.6,0.8,15.8
Anthony Davis,NOP,F-C,48.7,0.4,8.9
Damian Lillard,POR,G,53.6,0.8,15.3
Kemba Walker,CHA,G,55.6,1.0,13.0
Bradley Beal,WAS,G,47.3,1.0,14.2
Blake Griffin,DET,F,61.0,0.7,10.0
Karl-Anthony Towns,MIN,C,49.1,0.4,8.1
Kyrie Irving,BOS,G,51.3,1.0,15.6
Donovan Mitchell,UTA,G,34.6,0.7,14.9
Zach LaVine,CHI,G,36.5,0.6,14.7
Russell Westbrook,OKC,G,60.1,0.6,19.9
Klay Thompson,GSW,G,24.6,0.4,12.0
Julius Randle,NOP,C-F,37.2,0.4,9.7
LaMarcus Aldridge,SAS,C-F,35.2,0.3,7.7
DeMar DeRozan,SAS,G,35.2,0.6,19.4
Luka Doncic,DAL,F-G,57.6,0.8,12.3
Jrue Holiday,NOP,G,60.4,0.6,14.4
D'Angelo Russell,BKN,G,52.1,0.6,15.5
Mike Conley,MEM,G,59.4,0.9,13.1
CJ McCollum,POR,G,30.8,0.7,12.8
Nikola Vucevic,ORL,C,49.3,0.3,8.7
John Wall,WAS,G,56.1,0.9,17.5
Buddy Hield,SAC,G,35.0,0.5,8.7
Nikola Jokic,DEN,C,71.3,0.5,11.1
Tobias Harris,PHI,F,40.9,0.4,8.2
Lou Williams,LAC,G,34.9,0.5,17.8
Danilo Gallinari,LAC,F,40.4,0.4,7.8
John Collins,ATL,F-C,47.6,0.2,4.7
Trae Young,ATL,G,55.3,0.8,16.7
Victor Oladipo,IND,G,38.6,0.8,15.8
Lauri Markkanen,CHI,F,46.0,0.3,4.1
Jimmy Butler,PHI,G-F,33.8,0.5,13.7
Kyle Kuzma,LAL,F,30.0,0.3,9.6
Khris Middleton,MIL,F,35.4,0.4,13.7
Brandon Ingram,LAL,F,39.0,0.6,9.6
Jamal Murray,DEN,G,55.5,1.1,11.2
Andrew Wiggins,MIN,F-G,26.0,0.4,11.3
Tim Hardaway Jr.,DAL,G,31.6,0.4,9.2
JJ Redick,PHI,G,23.8,0.4,13.4
Derrick Rose,MIN,G,32.2,0.5,15.7
T.J. Warren,PHX,F,43.9,0.3,4.3
Bojan Bogdanovic,IND,F,25.1,0.4,9.7
Andre Drummond,DET,C,35.3,0.1,4.4
De'Aaron Fox,SAC,G,56.4,0.5,14.4
Kevin Love,CLE,F-C,37.1,0.2,7.0
Pascal Siakam,TOR,F,42.3,0.5,8.8
Ben Simmons,PHI,G-F,66.5,0.7,13.3
Jordan Clarkson,CLE,G,26.6,0.3,10.3
Spencer Dinwiddie,BKN,G,39.7,0.6,13.5
Collin Sexton,CLE,G,45.5,0.5,8.0
Clint Capela,HOU,C,44.9,0.2,3.7
Montrezl Harrell,LAC,F-C,32.1,0.1,6.9
Josh Richardson,MIA,G-F,47.6,0.6,10.2
Harrison Barnes,SAC,F,33.7,0.2,5.3
Deandre Ayton,PHX,C,35.0,0.3,5.8
DeMarcus Cousins,GSW,C,37.2,0.3,10.2
Eric Gordon,HOU,G,21.7,0.3,9.9
Aaron Gordon,ORL,F,35.9,0.4,11.3
Eric Bledsoe,MIL,G,38.1,0.6,16.6
Rudy Gobert,UTA,C,45.6,0.3,5.1
Jayson Tatum,BOS,F,28.2,0.3,8.9
Malcolm Brogdon,MIL,G,36.6,0.5,10.4
Jusuf Nurkic,POR,C,42.8,0.1,8.0
Chris Paul,HOU,G,50.8,0.6,18.0
Jonas Valanciunas,MEM,C,35.7,0.3,4.9
Dennis Schroder,OKC,G,35.7,0.5,13.4
Reggie Jackson,DET,G,50.5,0.6,10.1
Jeremy Lamb,CHA,G,26.2,0.4,10.5
Kelly Oubre Jr.,PHX,F,22.3,0.3,7.2
Nikola Mirotic,MIL,F,34.2,0.2,4.3
Evan Fournier,ORL,G-F,26.1,0.5,16.7
Terrence Ross,ORL,G-F,18.2,0.4,12.2
Dwyane Wade,MIA,G,35.9,0.5,13.2
Serge Ibaka,TOR,C-F,32.4,0.4,5.3
Marvin Bagley III,SAC,F,23.2,0.1,4.7
Emmanuel Mudiay,NYK,G,48.2,0.7,10.0
Jabari Parker,WAS,F,42.6,0.3,6.6
Kyle Lowry,TOR,G,62.5,1.0,16.3
Bobby Portis,WAS,F,34.6,0.2,5.0
Bogdan Bogdanovic,SAC,G,37.6,0.6,11.9
Domantas Sabonis,IND,F,50.0,0.4,6.6
Marcus Morris Sr.,BOS,F,29.7,0.3,6.0
Otto Porter Jr.,CHI,F,28.9,0.3,9.0
Steven Adams,OKC,C,30.5,0.3,6.2
Jaren Jackson Jr.,MEM,F-C,26.4,0.1,4.6
Goran Dragic,MIA,G,41.9,0.7,13.9
Rudy Gay,SAS,F,34.4,0.2,8.4
Joe Harris,BKN,F-G,32.6,0.3,9.0
Caris LeVert,BKN,G,30.9,0.6,14.9
Enes Kanter,POR,C,31.4,0.1,6.1
Jerami Grant,OKC,F,37.3,0.3,3.4
Dennis Smith Jr.,NYK,G,52.5,0.5,10.2
Al Horford,BOS,C-F,42.9,0.5,11.2
Marc Gasol,TOR,C,58.3,0.5,8.7
Taurean Prince,ATL,F,19.2,0.1,12.4
Carmelo Anthony,HOU,F,19.0,0.2,4.2
Myles Turner,IND,C-F,36.8,0.1,4.7
Robert Covington,MIN,F,25.9,0.3,6.5
Cedi Osman,CLE,F,36.4,0.3,8.2
Jaylen Brown,BOS,G,17.5,0.3,9.5
Gary Harris,DEN,G,21.0,0.5,13.3
Kevin Knox II,NYK,F,25.6,0.2,5.4
Ricky Rubio,UTA,G,55.7,1.0,13.7
Thaddeus Young,IND,F,36.4,0.3,8.0
Paul Millsap,DEN,F,27.6,0.3,8.6
Justise Winslow,MIA,F-G,52.2,0.5,9.5
Trevor Ariza,WAS,F,38.9,0.4,10.7
Brook Lopez,MIL,C,24.5,0.1,5.6
Hassan Whiteside,MIA,C,18.6,0.1,4.8
Jeff Green,WAS,F,27.2,0.1,7.4
Wesley Matthews,IND,G-F,22.4,0.3,11.8
Jeff Teague,MIN,G,53.0,0.5,17.2
Joe Ingles,UTA,F,40.9,0.7,16.9
Dion Waiters,MIA,G,31.4,0.5,10.8
JaVale McGee,LAL,C,21.4,0.1,4.0
E'Twaun Moore,NOP,G,24.8,0.3,9.0
Willie Cauley-Stein,SAC,C,31.8,0.3,8.7
Jae Crowder,UTA,F,38.5,0.2,5.0
Derrick Favors,UTA,F-C,29.2,0.1,4.6
Bryn Forbes,SAS,G,25.7,0.3,9.5
D.J. Augustin,ORL,G,46.3,1.0,13.9
Kent Bazemore,ATL,G,22.1,0.2,12.1
Josh Jackson,PHX,F,25.2,0.2,10.4
Will Barton,DEN,G,33.0,0.4,10.1
Gordon Hayward,BOS,F,32.8,0.3,12.0
Kentavious Caldwell-Pope,LAL,G,23.5,0.2,7.0
Malik Beasley,DEN,G,14.1,0.4,11.9
Reggie Bullock,LAL,G-F,27.0,0.3,8.6
Kris Dunn,CHI,G,53.3,0.1,12.1
Darren Collison,IND,G,50.1,0.6,13.5
Rodney Hood,POR,G,22.6,0.1,8.5
DeMarre Carroll,BKN,F,23.9,0.2,6.3
Alex Len,ATL,C,25.8,0.1,4.8
DeAndre Jordan,NYK,C,37.8,0.2,6.7
Fred VanVleet,TOR,G,42.9,0.7,13.1
Tristan Thompson,CLE,C-F,35.0,0.3,6.7
J.J. Barea,DAL,G,44.3,0.6,14.8
Jarrett Allen,BKN,C,32.1,0.1,4.4
Trey Burke,DAL,G,30.7,0.3,10.2
Tyler Johnson,PHX,G,35.4,0.3,9.4
Allonzo Trier,NYK,G,21.2,0.2,10.1
Shai Gilgeous-Alexander,LAC,G,40.6,0.4,9.4
Dewayne Dedmon,ATL,C,34.9,0.1,4.6
Taj Gibson,MIN,F,29.0,0.2,4.9
Damyean Dotson,NYK,G,24.8,0.3,8.7
Elfrid Payton,NOP,G,55.4,0.6,15.5
Dario Saric,MIN,F,33.7,0.2,5.4
Dwight Powell,DAL,F-C,26.6,0.1,6.1
Thomas Bryant,WAS,C,26.3,0.2,5.8
Marco Belinelli,SAS,G-F,21.1,0.6,11.0
Justin Holiday,MEM,F-G,24.3,0.4,9.0
Kenneth Faried,HOU,F-C,22.8,0.2,3.3
Monte Morris,DEN,G,42.5,0.4,9.6
Wendell Carter Jr.,CHI,C,28.3,0.0,6.4
Wayne Ellington,DET,G,17.6,0.2,9.5
Danny Green,TOR,G-F,24.8,0.3,7.8
Tyreke Evans,IND,G,20.9,0.3,13.5
Cody Zeller,CHA,C,39.5,0.2,5.8
Marvin Williams,CHA,F,26.9,0.1,4.9
Kelly Olynyk,MIA,F,35.9,0.2,5.8
Kadeem Allen,NYK,G,36.4,0.2,11.9
Avery Bradley,MEM,G,22.7,0.3,12.7
Derrick White,SAS,G,39.1,0.4,11.3
Lonzo Ball,LAL,G,50.7,0.5,12.2
Patty Mills,SAS,G,31.9,0.5,11.4
Luke Kennard,DET,G,21.4,0.5,11.3
Kevin Huerter,ATL,G,19.1,0.3,16.8
Nemanja Bjelica,SAC,F,29.5,0.2,7.6
Allen Crabbe,BKN,G-F,21.2,0.2,6.0
Jonathan Isaac,ORL,F,35.2,0.2,3.8
Jeremy Lin,TOR,G,30.9,0.5,11.9
Robin Lopez,CHI,C,19.0,0.1,7.0
Tony Parker,CHA,G,28.9,0.3,14.6
Shabazz Napier,BKN,G,25.0,0.3,11.8
Markieff Morris,OKC,F,21.2,0.2,7.6
JaMychal Green,LAC,F,28.5,0.1,3.2
Danuel House Jr.,HOU,F-G,17.3,0.1,6.8
Al-Farouq Aminu,POR,F,25.9,0.2,5.9
Larry Nance Jr.,CLE,F,37.8,0.2,9.0
Nicolas Batum,CHA,F-G,33.4,0.3,11.1
Jalen Brunson,DAL,G,34.5,0.5,10.6
Gerald Green,HOU,G-F,15.0,0.1,4.7
Rajon Rondo,LAL,G,57.0,0.6,15.3
Alex Caruso,LAL,G,29.0,0.4,12.8
Landry Shamet,LAC,G,16.6,0.3,11.0
Terry Rozier,BOS,G,40.3,0.6,8.9
Ish Smith,DET,G,40.9,0.4,10.3
Malik Monk,CHA,G,12.3,0.1,15.3
Rondae Hollis-Jefferson,BKN,F,31.4,0.1,5.7
Ivica Zubac,LAC,C,25.7,0.1,4.6
Bam Adebayo,MIA,C-F,25.2,0.2,10.0
Tomas Satoransky,WAS,G-F,46.3,0.6,12.6
Marcus Smart,BOS,G,36.2,0.5,12.9
Mario Hezonja,NYK,F,26.5,0.3,7.5
Alec Burks,SAC,G,25.2,0.3,9.2
Delon Wright,MEM,G,37.1,0.5,10.4
Frank Kaminsky,CHA,F-C,25.0,0.2,6.4
Norman Powell,TOR,F-G,18.3,0.2,9.9
Kyle Korver,UTA,G-F,13.7,0.2,10.6
Trey Lyles,DEN,F,22.4,0.2,7.0
Rodions Kurucs,BKN,F,17.9,0.1,5.5
Langston Galloway,DET,G,15.3,0.3,9.0
Noah Vonleh,NYK,F,39.5,0.2,5.4
DeAndre' Bembry,ATL,F,22.6,0.4,13.2
Mikal Bridges,PHX,F,28.5,0.2,8.5
Bruno Caboclo,MEM,F,23.6,0.1,6.6
Darius Miller,NOP,F,20.6,0.2,12.0
Jahlil Okafor,NOP,C,19.4,0.1,4.1
Richaun Holmes,PHX,F-C,16.2,0.1,6.0
Markelle Fultz,ORL,G,39.9,0.3,9.0
Austin Rivers,HOU,G,24.3,0.3,10.4
Frank Jackson,NOP,G,18.3,0.2,7.3
Isaiah Thomas,DEN,G,18.9,0.1,10.6
Kyle Anderson,MEM,F,35.0,0.7,11.0
Davis Bertans,SAS,F,25.3,0.2,6.4
Jamal Crawford,PHX,G,27.4,0.3,14.8
Seth Curry,POR,G,16.5,0.4,8.3
Josh Hart,LAL,G,21.5,0.3,8.3
Garrett Temple,LAC,G-F,26.9,0.5,7.5
James Johnson,MIA,F,28.8,0.2,9.3
Ante Zizic,CLE,C,14.9,0.0,6.7
Mason Plumlee,DEN,F-C,29.2,0.1,10.9
Josh Okogie,MIN,G,14.2,0.3,11.3
Maurice Harkless,POR,F,20.9,0.2,7.0
Patrick Beverley,LAC,G,39.3,0.3,11.3
George Hill,MIL,G,28.3,0.2,9.0
Rodney McGruder,LAC,F-G,22.7,0.1,8.4
Jake Layman,POR,F,14.1,0.1,6.2
Shelvin Mack,CHA,G,41.6,0.6,9.7
Dorian Finney-Smith,DAL,F,22.0,0.2,6.1
Dillon Brooks,MEM,G-F,15.2,0.1,6.6
Iman Shumpert,HOU,G,20.7,0.3,10.7
Chandler Parsons,MEM,F,23.5,0.2,8.9
Miles Bridges,CHA,F,18.5,0.1,7.4
Vince Carter,ATL,F-G,24.1,0.1,5.5
Draymond Green,GSW,F,58.6,0.6,13.2
Dwayne Bacon,CHA,G-F,13.9,0.1,9.0
Mitchell Robinson,NYK,C,17.4,0.1,3.9
Antonio Blakeney,CHI,G,7.6,0.1,10.9
P.J. Tucker,HOU,F,28.0,0.1,4.8
Doug McDermott,IND,F,13.2,0.1,7.7
Dirk Nowitzki,DAL,F,18.1,0.2,4.9
Willy Hernangomez,CHA,C,24.5,0.1,5.1
Lance Stephenson,LAL,G,19.2,0.2,12.1
Justin Jackson,DAL,F,17.8,0.1,7.8
Luol Deng,MIN,F,16.0,0.1,5.7
Joakim Noah,MEM,C,31.5,0.1,7.4
Harry Giles III,SAC,F-C,14.7,0.1,11.0
Derrick Jones Jr.,MIA,F-G,17.2,0.1,4.4
Mike Muscala,LAL,F-C,30.2,0.2,4.8
Luke Kornet,NYK,F-C,22.4,0.2,5.9
OG Anunoby,TOR,F,16.9,0.1,5.0
Terrance Ferguson,OKC,G,9.5,0.1,11.8
Pat Connaughton,MIL,G,23.0,0.1,9.5
Tyus Jones,MIN,G,44.1,0.7,12.8
Stanley Johnson,NOP,F,25.2,0.2,6.1
Quinn Cook,GSW,G,25.4,0.2,7.0
Dante Exum,UTA,G,23.6,0.2,12.6
Wayne Selden,CHI,G-F,14.7,0.1,10.7
Maxi Kleber,DAL,F,28.4,0.1,4.1
Brandon Knight,CLE,G,23.1,0.2,9.3
Evan Turner,POR,G-F,38.7,0.2,10.7
Ersan Ilyasova,MIL,F,20.9,0.2,4.6
JR Smith,CLE,G-F,20.4,0.3,11.2
Ryan Arcidiacono,CHI,G,34.1,0.2,10.3
James Ennis III,PHI,F,12.3,0.2,7.4
Ian Clark,NOP,G,18.9,0.2,9.9
Michael Kidd-Gilchrist,CHA,F,18.4,0.1,6.3
Zach Collins,POR,F-C,21.0,0.0,4.7
MarShon Brooks,MEM,G,14.0,0.1,7.4
David Nwaba,CLE,G,14.3,0.0,7.7
Cory Joseph,IND,G,41.4,0.5,11.1
Johnathan Williams,LAL,F,12.0,0.0,4.9
Jonathon Simmons,PHI,F,16.4,0.3,16.7
Shaquille Harrison,CHI,G,24.7,0.1,8.6
Sterling Brown,MIL,G,15.8,0.1,9.9
CJ Miles,MEM,F-G,12.1,0.1,7.0
Gorgui Dieng,MIN,C,18.8,0.1,5.7
T.J. McConnell,PHI,G,37.4,0.6,10.9
Devin Harris,DAL,G,18.0,0.2,11.6
Jonas Jerebko,GSW,F,23.3,0.1,6.4
Omri Casspi,MEM,F,17.0,0.2,6.0
Cameron Payne,CLE,G,28.0,0.2,10.1
Kevon Looney,GSW,C-F,22.2,0.1,7.7
Troy Daniels,PHX,G,12.7,0.1,5.1
Mo Bamba,ORL,C,19.4,0.0,4.5
Tyler Dorsey,MEM,G,12.6,0.2,11.6
Jerryd Bayless,MIN,G,34.2,0.4,11.7
Sam Dekker,WAS,F,16.9,0.0,6.3
Kenrich Williams,NOP,G-F,25.1,0.3,8.5
Cheick Diallo,NOP,F,18.3,0.0,3.2
Isaiah Canaan,MIL,G,37.4,0.3,8.3
Henry Ellenson,NYK,F,19.7,0.0,4.8
Tony Snell,MIL,G,14.6,0.1,7.3
Wilson Chandler,LAC,F,22.7,0.2,8.5
Jordan McRae,WAS,G,11.4,0.3,12.3
Yogi Ferrell,SAC,G,23.3,0.3,10.2
Omari Spellman,ATL,F,25.8,0.1,4.6
Aaron Holiday,IND,G,15.6,0.3,13.6
Matthew Dellavedova,CLE,G,30.7,0.3,13.5
Nik Stauskas,CLE,G,13.8,0.2,10.4
Meyers Leonard,POR,F-C,20.3,0.1,6.6
D.J. Wilson,MIL,F,21.5,0.1,5.5
Juancho Hernangomez,DEN,F,16.9,0.2,5.8
Ed Davis,BKN,C,26.4,0.1,3.2
Furkan Korkmaz,PHI,G-F,12.3,0.2,10.7
Mike Scott,PHI,F,19.4,0.1,4.6
Ivan Rabb,MEM,F,19.7,0.1,6.4
Elie Okobo,PHX,G,36.1,0.5,8.1
Torrey Craig,DEN,F,13.7,0.2,8.6
Frank Ntilikina,NYK,G,30.8,0.2,10.3
Andre Iguodala,GSW,F-G,31.3,0.3,11.5
Daniel Theis,BOS,F,16.9,0.1,6.9
John Henson,CLE,F,15.0,0.2,8.6
Aron Baynes,BOS,C-F,17.9,0.1,7.2
Chasson Randle,WAS,G,22.2,0.2,9.7
Jakob Poeltl,SAS,C,20.4,0.0,6.0
Damian Jones,GSW,C,17.0,0.2,7.8
Alex Abrines,OKC,G,10.1,0.0,6.7
Raul Neto,UTA,G,22.8,0.5,13.9
Troy Williams,SAC,F,11.6,0.1,5.3
Treveon Graham,BKN,F,21.7,0.1,5.4
Tim Frazier,MIL,G,36.9,0.4,12.9
Chandler Hutchison,CHI,F,19.9,0.2,4.9
Royce O'Neale,UTA,F,19.4,0.2,9.7
Alex Poythress,ATL,F,21.5,0.0,4.0
Brandon Sampson,CHI,G,7.5,0.1,10.5
Jalen Jones,CLE,F,11.1,0.0,3.4
Thon Maker,DET,F,18.1,0.1,4.2
Keita Bates-Diop,MIN,F,10.5,0.0,5.7
Anthony Tolliver,MIN,F,17.0,0.1,4.6
Cameron Reynolds,MIN,G,10.9,0.2,9.2
De'Anthony Melton,PHX,G,37.5,0.4,9.9
Dragan Bender,PHX,F,27.0,0.2,5.3
Wes Iwundu,ORL,F,12.3,0.2,10.1
Marcin Gortat,LAC,C,29.2,0.2,5.5
Nerlens Noel,OKC,F-C,16.1,0.1,4.4
Corey Brewer,SAC,G-F,12.0,0.2,12.1
Jared Dudley,BKN,F,30.6,0.2,5.4
Donte DiVincenzo,MIL,G,17.2,0.1,7.1
Khem Birch,ORL,C,14.0,0.0,5.8
Michael Carter-Williams,ORL,G,22.3,0.1,12.0
Troy Brown Jr.,WAS,F,13.6,0.1,12.9
Devonte' Graham,CHA,G,24.3,0.3,12.0
Jonah Bolden,PHI,F,21.3,0.1,5.0
