PLAYER,TEAM,POSITION,ISOLATION_FREQ,ISOLATION_FGM,ISOLATION_FG%,PNR_HANDLER_FREQ,PNR_HANDLER_FGM,PNR_HANDLER_FG%,PNR_ROLL_FREQ,PNR_ROLL_FGM,PNR_ROLL_FG%,TRANSITION_FREQ,TRANSITION_FGM,TRANSITION_FG%,POST_UP_FREQ,POST_UP_FGM,POST_UP_FG%,SPOT_UP_FREQ,SPOT_UP_FGM,SPOT_UP_FG%,HANDOFF_FREQ,HANDOFF_FGM,HANDOFF_FG%,CUT_FREQ,CUT_FGM,CUT_FG%,OFF_SCREEN_FREQ,OFF_SCREEN_FGM,OFF_SCREEN_FG%,PUTBACK_FREQ,PUTBACK_FGM,PUTBACK_FG%
James Harden,HOU,G,0.487,7.9,0.401,0.221,2.7,0.477,0.0,0.0,0.0,0.133,1.3,0.534,0.009,0.1,0.647,0.032,0.6,0.449,0.036,0.4,0.478,0.014,0.1,0.682,0.009,0.2,0.316,0.017,0.1,0.591
Paul George,OKC,F,0.134,1.9,0.368,0.245,2.7,0.449,0.014,0.3,0.241,0.206,2.3,0.482,0.036,0.3,0.556,0.117,1.5,0.465,0.054,0.7,0.404,0.019,0.1,0.72,0.098,1.3,0.419,0.0,0.0,0.0
Giannis Antetokounmpo,MIL,F,0.155,1.7,0.429,0.076,0.5,0.622,0.05,0.3,0.72,0.256,1.4,0.64,0.12,0.9,0.558,0.114,1.1,0.471,0.018,0.2,0.593,0.08,0.4,0.737,0.023,0.3,0.371,0.064,0.5,0.678
Joel Embiid,PHI,F-C,0.064,0.8,0.384,0.03,0.3,0.474,0.076,1.0,0.436,0.1,1.0,0.504,0.299,2.6,0.501,0.155,1.9,0.41,0.009,0.1,0.222,0.088,0.6,0.67,0.027,0.5,0.31,0.082,0.6,0.597
LeBron James,LAL,F,0.175,2.3,0.412,0.281,3.2,0.454,0.023,0.2,0.667,0.214,1.3,0.649,0.082,0.8,0.532,0.059,0.9,0.388,0.014,0.1,0.632,0.037,0.3,0.708,0.02,0.3,0.296,0.026,0.2,0.73
Stephen Curry,GSW,G,0.056,0.5,0.5,0.216,2.3,0.433,0.023,0.2,0.5,0.2,1.8,0.49,0.0,0.0,0.0,0.13,1.6,0.448,0.055,0.6,0.461,0.045,0.3,0.639,0.201,2.3,0.467,0.0,0.0,0.0
Kawhi Leonard,TOR,F,0.165,1.8,0.465,0.268,2.6,0.457,0.0,0.0,0.0,0.178,1.3,0.586,0.094,0.9,0.481,0.111,1.3,0.452,0.044,0.4,0.49,0.024,0.1,0.667,0.041,0.4,0.519,0.0,0.0,0.0
Devin Booker,PHX,G,0.125,1.4,0.397,0.345,3.5,0.457,0.0,0.0,0.0,0.197,1.8,0.541,0.04,0.4,0.528,0.068,1.0,0.384,0.049,0.5,0.417,0.028,0.2,0.762,0.088,1.3,0.412,0.008,0.1,0.5
Kevin Durant,GSW,F,0.156,1.6,0.462,0.19,1.9,0.46,0.021,0.2,0.516,0.211,1.4,0.585,0.106,0.9,0.503,0.088,0.8,0.542,0.037,0.3,0.519,0.04,0.2,0.789,0.089,0.9,0.518,0.0,0.0,0.0
Anthony Davis,NOP,F-C,0.077,0.8,0.453,0.014,0.2,0.4,0.141,1.5,0.471,0.13,0.9,0.616,0.183,1.9,0.432,0.118,1.4,0.448,0.014,0.1,0.385,0.098,0.5,0.725,0.055,0.7,0.394,0.0,0.0,0.0
