PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
James Harden,HOU,G,36.1,44.2,36.8,0.8,5.8,7.5,2.0,0.7,4.6,39.4,1.51,2.3,15.7,12.0,61.6,39.6,20.1
Paul George,OKC,F,28.0,43.8,38.6,1.4,6.8,4.1,2.2,0.4,6.4,17.3,1.55,3.3,17.3,8.7,58.3,28.5,16.1
Giannis Antetokounmpo,MIL,F,27.7,57.8,25.6,2.2,10.3,5.9,1.3,1.5,9.1,29.4,1.58,6.6,27.3,12.0,64.4,31.4,21.8
Joel Embiid,PHI,F-C,27.5,48.4,30.0,2.5,11.1,3.7,0.7,1.9,5.8,18.5,1.04,7.5,29.2,11.6,59.3,32.7,19.6
LeBron James,LAL,F,27.4,51.0,33.9,1.0,7.4,8.3,1.3,0.6,2.1,37.6,2.3,2.9,19.3,10.2,58.8,31.1,18.8
Stephen Curry,GSW,G,27.3,47.2,43.7,0.7,4.7,5.2,1.3,0.4,10.0,22.5,1.88,2.0,12.2,9.6,64.1,29.2,15.2
Kawhi Leonard,TOR,F,26.6,49.6,37.1,1.3,6.0,3.3,1.8,0.4,5.9,15.9,1.64,3.9,16.5,7.4,60.6,30.0,17.2
Devin Booker,PHX,G,26.6,46.7,32.6,0.6,3.5,6.8,0.9,0.2,-5.2,32.7,1.64,1.7,9.9,12.3,58.4,32.0,13.4
Kevin Durant,GSW,F,26.0,52.1,35.3,0.4,5.9,5.9,0.7,1.1,8.4,25.1,2.03,1.3,15.3,9.8,63.1,28.3,16.2
Anthony Davis,NOP,F-C,25.9,51.7,33.1,3.1,8.9,3.9,1.6,2.4,2.4,18.6,1.95,8.9,24.9,7.3,59.7,28.8,19.7
Damian Lillard,POR,G,25.8,44.4,36.9,0.9,3.8,6.9,1.1,0.4,6.2,29.9,2.6,2.3,10.0,8.5,58.8,28.1,15.5
Kemba Walker,CHA,G,25.6,43.4,35.6,0.6,3.8,5.9,1.2,0.4,0.4,28.7,2.29,1.7,10.6,8.2,55.8,30.8,14.0
Bradley Beal,WAS,G,25.6,47.5,35.1,1.1,3.9,5.5,1.5,0.7,-1.4,23.3,2.0,2.8,10.4,9.1,58.1,27.7,12.8
Blake Griffin,DET,F,24.5,46.2,36.2,1.3,6.2,5.4,0.7,0.4,0.5,26.8,1.59,3.6,18.2,11.3,58.1,29.6,15.3
Karl-Anthony Towns,MIN,C,24.4,51.8,40.0,3.4,9.0,3.4,0.9,1.6,0.7,16.9,1.08,9.7,25.7,12.0,62.2,28.0,17.7
Kyrie Irving,BOS,G,23.8,48.7,40.1,1.1,3.9,6.9,1.5,0.5,5.0,33.0,2.7,3.1,11.3,8.7,59.2,28.6,15.7
Donovan Mitchell,UTA,G,23.8,43.2,36.2,0.8,3.3,4.2,1.4,0.4,4.8,20.9,1.48,2.2,9.3,9.7,53.7,30.9,11.7
Zach LaVine,CHI,G,23.7,46.7,37.4,0.6,4.0,4.5,1.0,0.4,-4.8,22.4,1.32,1.8,11.3,12.0,57.4,29.8,12.5
Russell Westbrook,OKC,G,22.9,42.8,29.0,1.5,9.6,10.7,1.9,0.5,4.0,44.0,2.41,3.6,25.5,11.7,50.1,30.1,16.4
Klay Thompson,GSW,G,21.5,46.7,40.2,0.5,3.4,2.4,1.1,0.6,4.5,10.3,1.62,1.5,8.9,6.5,57.1,25.4,10.3
Julius Randle,NOP,C-F,21.4,52.4,34.4,2.2,6.5,3.1,0.7,0.6,-0.2,15.8,1.1,6.9,19.8,12.0,60.0,27.3,13.7
LaMarcus Aldridge,SAS,C-F,21.3,51.9,23.8,3.1,6.1,2.4,0.5,1.3,1.1,11.5,1.35,9.6,18.0,7.9,57.6,26.8,14.3
DeMar DeRozan,SAS,G,21.2,48.1,15.6,0.7,5.3,6.2,1.1,0.5,0.1,27.7,2.39,2.0,14.7,9.2,54.2,27.7,13.5
Luka Doncic,DAL,F-G,21.2,42.7,32.7,1.2,6.6,6.0,1.1,0.3,-1.6,31.7,1.74,3.6,19.8,11.9,54.5,29.6,14.9
Jrue Holiday,NOP,G,21.2,47.2,32.5,1.1,3.9,7.7,1.6,0.8,3.4,30.8,2.47,3.0,9.9,10.5,55.5,25.0,12.7
D'Angelo Russell,BKN,G,21.1,43.4,36.9,0.7,3.2,7.0,1.2,0.2,0.3,39.2,2.23,2.0,9.9,10.5,53.3,31.1,14.1
Mike Conley,MEM,G,21.1,43.8,36.4,0.6,2.8,6.4,1.3,0.3,0.3,32.7,3.45,1.7,8.8,7.0,56.9,26.2,15.1
CJ McCollum,POR,G,21.0,45.9,37.5,0.9,3.1,3.0,0.8,0.4,5.0,13.3,1.95,2.5,8.7,6.5,55.3,24.8,10.3
Nikola Vucevic,ORL,C,20.8,51.8,36.4,2.8,9.2,3.8,1.0,1.1,2.7,20.8,1.93,8.8,28.6,8.3,57.3,27.6,18.5
John Wall,WAS,G,20.7,44.4,30.2,0.5,3.2,8.7,1.5,0.9,-4.8,39.1,2.31,1.3,8.7,11.7,52.7,28.6,12.3
Buddy Hield,SAC,G,20.7,45.8,42.7,1.3,3.7,2.5,0.7,0.4,0.0,11.7,1.4,3.6,11.0,8.2,58.7,24.3,11.0
Nikola Jokic,DEN,C,20.1,51.1,30.7,2.9,8.0,7.3,1.4,0.7,3.9,36.1,2.34,8.9,24.9,11.4,58.9,27.1,18.8
Tobias Harris,PHI,F,20.0,48.7,39.7,0.8,7.0,2.8,0.6,0.5,0.2,12.6,1.52,2.4,18.8,8.6,59.2,22.5,13.1
Lou Williams,LAC,G,20.0,42.5,36.1,0.5,2.4,5.4,0.8,0.1,2.6,31.8,2.22,1.9,8.1,9.4,55.4,30.8,14.7
Danilo Gallinari,LAC,F,19.8,46.3,43.3,0.8,5.3,2.6,0.7,0.3,1.5,13.4,1.8,2.7,17.1,7.4,63.3,23.7,14.3
John Collins,ATL,F-C,19.5,56.0,34.8,3.6,6.2,2.0,0.4,0.6,-1.2,10.2,1.01,11.2,19.6,10.2,62.7,23.0,13.6
Trae Young,ATL,G,19.1,41.8,32.4,0.8,2.9,8.1,0.9,0.2,-4.1,39.0,2.12,2.4,9.1,12.9,53.9,27.7,11.9
Victor Oladipo,IND,G,18.8,42.3,34.3,0.6,5.0,5.2,1.7,0.3,3.5,25.0,2.27,1.8,15.4,8.9,51.9,27.8,13.0
Lauri Markkanen,CHI,F,18.7,43.0,36.1,1.4,7.6,1.4,0.7,0.6,-3.8,7.0,0.88,4.3,23.4,8.2,55.3,24.5,12.5
Jimmy Butler,PHI,G-F,18.7,46.2,34.7,1.9,3.4,4.0,1.9,0.6,2.5,17.9,2.77,5.4,9.4,6.7,57.1,21.8,12.6
Kyle Kuzma,LAL,F,18.7,45.6,30.3,0.9,4.6,2.5,0.6,0.4,-0.8,11.3,1.34,2.5,12.7,8.8,54.6,23.3,9.6
Khris Middleton,MIL,F,18.3,44.1,37.8,0.6,5.3,4.3,1.0,0.1,7.2,19.4,1.9,2.1,14.9,9.9,55.8,24.6,11.8
Brandon Ingram,LAL,F,18.3,49.7,33.0,0.8,4.3,3.0,0.5,0.6,-1.1,12.7,1.19,2.2,11.3,11.3,55.5,22.7,9.2
Jamal Murray,DEN,G,18.2,43.7,36.7,0.9,3.4,4.8,0.9,0.4,3.3,22.0,2.3,2.6,10.1,8.9,53.8,24.1,10.8
