PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
James Harden,HOU,G,4.2,56.2,1.2,49.2,0.4,46.5,0.2,36.4,0.9,34.4,3.9,37.7
Paul George,OKC,F,3.0,59.0,0.5,37.9,0.7,40.7,0.9,39.3,1.7,42.1,2.3,37.2
Giannis Antetokounmpo,MIL,F,8.1,72.6,0.4,30.7,0.3,41.8,0.4,40.0,0.2,26.8,0.6,25.7
Joel Embiid,PHI,F-C,5.4,66.0,0.9,41.5,0.8,38.0,0.6,35.7,0.2,28.8,1.1,30.6
LeBron James,LAL,F,6.2,69.0,0.3,25.7,0.6,47.9,0.6,34.4,0.9,42.3,1.5,34.1
Stephen Curry,GSW,G,2.3,62.1,0.4,43.9,0.3,44.2,0.7,43.1,1.8,50.4,3.4,42.2
Kawhi Leonard,TOR,F,3.7,66.4,0.9,47.4,1.4,46.1,1.2,45.4,1.0,39.9,1.2,35.9
Devin Booker,PHX,G,3.3,60.9,0.9,51.4,1.6,50.7,1.1,47.3,0.7,37.3,1.6,33.0
Kevin Durant,GSW,F,2.8,72.9,0.7,52.3,1.8,50.0,2.0,57.1,0.4,30.0,1.5,38.9
Anthony Davis,NOP,F-C,5.7,70.3,1.0,38.4,1.0,41.5,0.7,32.2,0.5,42.4,0.6,31.5
Damian Lillard,POR,G,3.4,54.1,0.3,38.6,0.5,39.6,1.0,49.1,1.0,40.0,2.2,37.5
Kemba Walker,CHA,G,3.3,53.6,0.5,35.9,0.7,46.0,1.0,48.5,1.0,39.1,2.5,35.9
Bradley Beal,WAS,G,4.2,65.8,0.4,42.4,0.7,46.8,1.0,42.6,1.0,34.5,1.9,35.8
Blake Griffin,DET,F,4.6,64.4,0.7,32.7,0.2,24.2,0.1,26.3,1.1,40.3,1.5,33.3
Karl-Anthony Towns,MIN,C,4.4,66.8,1.6,48.5,0.3,34.3,0.5,42.4,0.8,43.2,1.2,38.1
Kyrie Irving,BOS,G,3.3,60.5,0.7,40.2,1.2,53.4,1.0,47.5,1.0,41.8,1.9,40.0
Donovan Mitchell,UTA,G,3.3,54.7,1.0,32.6,1.1,46.7,0.6,48.5,1.0,37.7,1.5,35.8
Zach LaVine,CHI,G,5.0,60.1,0.3,26.7,0.3,30.0,0.6,34.0,0.9,40.6,1.4,38.1
Russell Westbrook,OKC,G,4.8,61.2,0.3,24.7,0.9,38.0,0.9,31.8,0.8,32.6,1.0,27.5
Klay Thompson,GSW,G,2.0,69.5,0.3,36.6,1.1,48.3,1.5,45.0,1.6,44.2,1.9,38.5
Julius Randle,NOP,C-F,5.4,63.6,1.0,41.7,0.3,40.3,0.1,29.0,0.4,34.5,0.6,36.1
LaMarcus Aldridge,SAS,C-F,3.8,67.0,1.3,47.4,1.6,44.4,1.3,42.0,0.4,44.9,0.1,28.1
DeMar DeRozan,SAS,G,3.1,67.4,1.4,45.5,1.7,42.7,1.6,39.8,0.4,34.5,0.0,5.6
Luka Doncic,DAL,F-G,2.8,58.8,1.0,45.5,0.6,38.5,0.2,38.6,0.6,37.7,1.7,32.8
Jrue Holiday,NOP,G,4.3,61.9,0.7,41.3,0.9,47.2,0.4,41.0,0.7,33.3,1.1,32.1
D'Angelo Russell,BKN,G,1.8,53.1,1.0,44.0,1.4,50.7,1.0,44.0,1.0,39.6,2.0,35.7
Mike Conley,MEM,G,2.1,54.9,0.8,48.3,0.9,42.8,0.6,43.8,1.0,37.0,1.6,36.9
CJ McCollum,POR,G,2.2,54.0,0.8,42.7,1.0,51.0,1.4,52.4,1.1,40.0,1.6,36.9
Nikola Vucevic,ORL,C,4.0,66.9,1.8,51.8,0.8,39.5,0.8,40.9,0.5,41.6,0.9,37.9
John Wall,WAS,G,4.2,58.4,0.2,35.3,0.5,37.5,1.1,42.2,0.6,35.8,1.1,27.6
Buddy Hield,SAC,G,2.3,58.7,0.2,26.2,0.5,45.0,0.9,42.0,1.8,44.8,1.8,41.5
Nikola Jokic,DEN,C,4.3,63.2,1.3,51.5,0.6,51.6,0.4,43.5,0.5,30.9,0.6,30.3
Tobias Harris,PHI,F,2.8,59.7,1.0,50.6,0.8,43.5,0.9,47.9,0.8,44.7,1.2,37.7
