PLAYER,TEAM,POSITION,CLUSTER,PC1,PC2,PC3,PC4,PC5,PC6
James Harden,HOU,G,7,-0.8851357695690972,3.422465011378324,-1.6212936324214977,0.9485750548341281,-1.0994793006070172,-2.3431324667380866
Paul George,OKC,F,8,-0.8905084107381195,2.4119314457396817,1.3026979808827086,-0.4414889197032692,-1.0899504103979407,-0.28176794917003106
Giannis Antetokounmpo,MIL,F,7,0.7089614641354459,2.6091078653691397,-0.08684445264010744,-1.7196129089000791,-1.0993068701016921,-1.95970028332144
Joel Embiid,PHI,F-C,1,1.7003820224318167,2.712572669629749,0.6716955177056252,1.738021261733194,-0.2194389125200653,0.7198042569366724
LeBron James,LAL,F,7,-0.3076668772401923,2.3643412056403568,-0.8702638740830152,-0.1600116537199324,-0.9295723250376634,-2.1509177782638287
Stephen Curry,GSW,G,3,-1.1455573462356765,1.9704080110722577,1.4013908324842894,-0.25918169814347336,1.6932961640813817,1.1053355468130561
Kawhi Leonard,TOR,F,7,-0.6801965278454178,2.2799962087283308,0.2410088640894098,0.31855056682175903,-0.27369595983245526,-1.7289651601514346
Devin Booker,PHX,G,7,-0.9476985337585058,2.0223966685543058,-0.6454111440498891,0.9445562112170028,0.899080741448997,-1.6293127815518165
Kevin Durant,GSW,F,7,-0.5238390084416166,2.3708405362671274,0.10717499186192139,0.6934302178113049,1.2529594892752125,-2.2357815058056363
Anthony Davis,NOP,F-C,1,1.2363151451932983,2.579159826168896,0.733884478914709,1.0436344628376217,-0.6832063793984209,0.06698215105937386
Damian Lillard,POR,G,7,-1.2667010723448853,1.9623515489281562,-0.8671744800416152,-0.2966342898073085,1.4633748894386776,0.4121977655112942
Kemba Walker,CHA,G,8,-1.3955218183791442,2.0774648300872998,-0.38690496644328015,0.22722727192195524,0.1554795227082947,0.9519713513881483
Bradley Beal,WAS,G,8,-0.9801423096183577,2.2066459898218076,0.6817540266260029,-0.8728951132237037,-0.14701719032750635,0.06825107212785828
Blake Griffin,DET,F,7,0.1815581355874237,1.976937619893708,-0.13074016366045857,1.433301385333585,-1.0813551820515712,-0.193715139960535
Karl-Anthony Towns,MIN,C,1,1.744433105896652,2.364006251344461,0.9950817120406702,2.4426031701936406,-0.5675700796067348,0.5403364767856591
Kyrie Irving,BOS,G,7,-1.1353912214047923,2.2859768479856077,-0.25813925436001817,0.17722586517437175,0.652245108253999,-0.4192172554873232
Donovan Mitchell,UTA,G,7,-1.199004399117325,1.6718554703399056,-0.5108920070285181,-0.20991412304359783,1.1019778470667743,0.010011898497954804
Zach LaVine,CHI,G,7,-0.9915996930591439,1.4182664240593434,-0.2213887354372111,-0.43341178833129823,-0.3826120213356629,-1.4758752344879749
Russell Westbrook,OKC,G,7,-0.7842061792308387,2.4948427012284116,-1.6261481813614482,0.07825674184322211,-2.3183560327068875,-0.8979589419350429
Klay Thompson,GSW,G,3,-0.8100462924147267,1.3215943864287725,2.6787291105457887,0.5442481226103173,2.7990674204894925,-0.22034752167488406
Julius Randle,NOP,C-F,5,0.6464322135291193,1.5377264908709527,0.700065925273507,0.4952388045281227,-0.9622848932050249,-1.036368563107292
LaMarcus Aldridge,SAS,C-F,1,1.960304911895384,2.0011072034522766,0.2756111191345645,3.316682748389505,1.6518754982324289,0.32017710895997237
DeMar DeRozan,SAS,G,7,-0.6208997658246685,2.018467499821448,-1.7855937708082879,0.7014043588441672,1.3850849966766452,-1.472905415831337
Luka Doncic,DAL,F-G,7,-0.5663044194816182,1.839055579337912,-0.7359144042402487,0.4460069472207212,-0.6456857193950597,-0.47004291266614956
Jrue Holiday,NOP,G,8,-0.8715441124941533,2.1838338485072697,-0.6062135682744014,-1.2363345872782014,-0.7853455858709294,0.14518716849415828
D'Angelo Russell,BKN,G,7,-1.3795649290258127,1.8819106529685656,-1.4305405136563534,0.882597468201347,0.7440858814724675,-0.1887826224410212
Mike Conley,MEM,G,8,-1.2796142404665436,1.7841554730533429,-0.5986330300441918,0.057250539289105666,0.5476276454703431,0.9157554502879822
CJ McCollum,POR,G,3,-1.0456419182003485,1.527597552184336,0.3480451800120224,0.15941229031909532,3.007344279547279,1.1670128048706416
